Datetime,Close,High,Low,Open,Volume
2026-04-30 15:15:00+05:30,24004.099609375,24009.19921875,23984.650390625,23992.099609375,0
2026-04-30 15:20:00+05:30,24010.0,24010.05078125,23986.599609375,24004.099609375,0
2026-04-30 15:25:00+05:30,24043.69921875,24051.80078125,24005.150390625,24011.150390625,0
2026-05-04 09:15:00+05:30,24177.05078125,24245.849609375,24096.19921875,24096.19921875,0
2026-05-04 09:20:00+05:30,24179.650390625,24214.69921875,24164.099609375,24178.900390625,0
2026-05-04 09:25:00+05:30,24214.55078125,24220.400390625,24181.849609375,24181.849609375,0
2026-05-04 09:30:00+05:30,24229.5,24235.0,24181.05078125,24215.599609375,0
2026-05-04 09:35:00+05:30,24261.0,24268.75,24229.19921875,24229.19921875,0
2026-05-04 09:40:00+05:30,24276.650390625,24289.19921875,24259.94921875,24262.05078125,0
2026-05-04 09:45:00+05:30,24269.349609375,24283.80078125,24265.94921875,24279.25,0
2026-05-04 09:50:00+05:30,24232.150390625,24272.599609375,24225.25,24270.150390625,0
2026-05-04 09:55:00+05:30,24246.19921875,24248.099609375,24229.55078125,24234.150390625,0
2026-05-04 10:00:00+05:30,24223.94921875,24259.75,24215.05078125,24247.25,0
2026-05-04 10:05:00+05:30,24223.599609375,24246.25,24221.900390625,24224.0,0
2026-05-04 10:10:00+05:30,24175.19921875,24230.05078125,24172.44921875,24224.55078125,0
2026-05-04 10:15:00+05:30,24174.69921875,24190.400390625,24164.650390625,24175.30078125,0
2026-05-04 10:20:00+05:30,24151.400390625,24180.849609375,24142.80078125,24172.599609375,0
2026-05-04 10:25:00+05:30,24196.650390625,24196.849609375,24150.19921875,24151.400390625,0
2026-05-04 10:30:00+05:30,24186.69921875,24223.349609375,24172.19921875,24197.5,0
2026-05-04 10:35:00+05:30,24213.5,24217.349609375,24184.19921875,24186.80078125,0
2026-05-04 10:40:00+05:30,24219.150390625,24222.19921875,24206.650390625,24213.650390625,0
2026-05-04 10:45:00+05:30,24232.349609375,24240.650390625,24213.44921875,24219.30078125,0
2026-05-04 10:50:00+05:30,24220.30078125,24237.099609375,24215.44921875,24231.900390625,0
2026-05-04 10:55:00+05:30,24187.25,24221.650390625,24186.19921875,24220.05078125,0
2026-05-04 11:00:00+05:30,24202.650390625,24205.900390625,24175.650390625,24188.30078125,0
2026-05-04 11:05:00+05:30,24206.55078125,24216.099609375,24194.349609375,24203.19921875,0
2026-05-04 11:10:00+05:30,24227.25,24227.80078125,24204.650390625,24207.05078125,0
2026-05-04 11:15:00+05:30,24229.849609375,24242.25,24226.44921875,24227.5,0
2026-05-04 11:20:00+05:30,24233.19921875,24238.599609375,24224.80078125,24230.19921875,0
2026-05-04 11:25:00+05:30,24237.400390625,24239.05078125,24224.099609375,24233.400390625,0
2026-05-04 11:30:00+05:30,24231.0,24241.19921875,24225.05078125,24237.30078125,0
2026-05-04 11:35:00+05:30,24237.69921875,24242.80078125,24218.55078125,24231.0,0
2026-05-04 11:40:00+05:30,24228.44921875,24238.400390625,24221.75,24237.94921875,0
2026-05-04 11:45:00+05:30,24239.25,24249.150390625,24229.0,24229.0,0
2026-05-04 11:50:00+05:30,24223.30078125,24244.05078125,24220.650390625,24239.349609375,0
2026-05-04 11:55:00+05:30,24221.05078125,24227.44921875,24212.900390625,24224.900390625,0
2026-05-04 12:00:00+05:30,24213.150390625,24229.900390625,24210.30078125,24222.5,0
2026-05-04 12:05:00+05:30,24199.599609375,24219.44921875,24190.849609375,24212.44921875,0
2026-05-04 12:10:00+05:30,24117.0,24200.94921875,24115.80078125,24200.0,0
2026-05-04 12:15:00+05:30,24144.099609375,24144.69921875,24106.5,24117.349609375,0
2026-05-04 12:20:00+05:30,24135.75,24154.099609375,24121.80078125,24144.349609375,0
2026-05-04 12:25:00+05:30,24132.80078125,24145.650390625,24127.19921875,24136.099609375,0
2026-05-04 12:30:00+05:30,24107.94921875,24134.650390625,24106.94921875,24132.650390625,0
2026-05-04 12:35:00+05:30,24125.400390625,24127.150390625,24106.05078125,24108.650390625,0
2026-05-04 12:40:00+05:30,24100.55078125,24133.55078125,24098.55078125,24126.150390625,0
2026-05-04 12:45:00+05:30,24092.849609375,24119.05078125,24083.599609375,24100.94921875,0
2026-05-04 12:50:00+05:30,24108.25,24118.650390625,24092.0,24094.05078125,0
2026-05-04 12:55:00+05:30,24103.80078125,24118.849609375,24101.55078125,24108.69921875,0
2026-05-04 13:00:00+05:30,24101.75,24106.349609375,24090.55078125,24104.19921875,0
2026-05-04 13:05:00+05:30,24113.900390625,24114.400390625,24096.849609375,24101.55078125,0
2026-05-04 13:10:00+05:30,24109.099609375,24121.349609375,24107.150390625,24113.80078125,0
2026-05-04 13:15:00+05:30,24101.44921875,24111.75,24079.44921875,24109.05078125,0
2026-05-04 13:20:00+05:30,24070.75,24102.599609375,24059.05078125,24100.849609375,0
2026-05-04 13:25:00+05:30,24025.25,24085.849609375,24024.900390625,24070.75,0
2026-05-04 13:30:00+05:30,24019.80078125,24038.75,24005.30078125,24023.349609375,0
2026-05-04 13:35:00+05:30,24039.150390625,24039.69921875,24007.55078125,24019.0,0
2026-05-04 13:40:00+05:30,24086.80078125,24090.650390625,24038.650390625,24038.650390625,0
2026-05-04 13:45:00+05:30,24094.94921875,24099.400390625,24080.400390625,24087.0,0
2026-05-04 13:50:00+05:30,24086.0,24108.900390625,24081.44921875,24095.0,0
2026-05-04 13:55:00+05:30,24072.25,24089.849609375,24050.400390625,24086.44921875,0
2026-05-04 14:00:00+05:30,24068.849609375,24080.30078125,24053.80078125,24072.25,0
2026-05-04 14:05:00+05:30,24073.44921875,24077.5,24060.05078125,24069.150390625,0
2026-05-04 14:10:00+05:30,24103.75,24111.599609375,24075.099609375,24075.099609375,0
2026-05-04 14:15:00+05:30,24139.0,24147.94921875,24102.69921875,24105.0,0
2026-05-04 14:20:00+05:30,24126.55078125,24149.69921875,24121.05078125,24138.75,0
2026-05-04 14:25:00+05:30,24122.69921875,24134.349609375,24113.25,24126.0,0
2026-05-04 14:30:00+05:30,24112.150390625,24131.94921875,24103.80078125,24123.75,0
2026-05-04 14:35:00+05:30,24111.599609375,24119.400390625,24101.650390625,24110.900390625,0
2026-05-04 14:40:00+05:30,24096.0,24113.599609375,24072.150390625,24111.30078125,0
2026-05-04 14:45:00+05:30,24077.69921875,24097.80078125,24072.150390625,24096.150390625,0
2026-05-04 14:50:00+05:30,24096.69921875,24099.55078125,24071.0,24078.349609375,0
2026-05-04 14:55:00+05:30,24089.25,24111.5,24078.400390625,24098.05078125,0
2026-05-04 15:00:00+05:30,24098.0,24106.349609375,24074.94921875,24091.0,0
2026-05-04 15:05:00+05:30,24117.25,24124.19921875,24096.25,24100.599609375,0
2026-05-04 15:10:00+05:30,24123.25,24135.05078125,24108.349609375,24118.80078125,0
2026-05-04 15:15:00+05:30,24125.44921875,24135.44921875,24115.0,24125.05078125,0
